2799,0.0,r
3105,0.0,b
4023,60.0,r
4330,60.0,b
5248,180.0,r
5554,180.0,b
6472,240.0,r
6779,240.0,b
7697,300.0,r
8003,300.0,b
8921,180.0,r
9228,180.0,b
10146,60.0,r
10452,60.0,b
11370,60.0,r
12901,120.0,b
13360,120.0,y
14126,240.0,b
14738,240.0,b
15350,60.0,b
15809,60.0,y
16574,300.0,b
17034,300.0,y
17493,0.0,r
18411,0.0,b
18717,60.0,r
19636,60.0,b
19942,120.0,r
20860,120.0,b
21166,180.0,r
21779,180.0,r
22085,240.0,b
22391,180.0,r
23309,300.0,b
23615,240.0,r
24228,240.0,r
24534,180.0,b
24840,240.0,r
25758,240.0,b
26064,180.0,r
26677,0.0,r
26983,60.0,b
27289,120.0,r
28207,180.0,b
28513,180.0,r
29432,240.0,b
29738,300.0,r
30656,300.0,b
30962,0.0,r
31574,0.0,r
31881,60.0,b
32187,0.0,r
32799,120.0,r
33411,240.0,r
34023,300.0,r
34330,180.0,b
34483,120.0,y
34636,60.0,r
37085,0.0,r
37391,0.0,b
38309,300.0,r
38615,300.0,b
39534,240.0,r
39840,240.0,b
40758,180.0,r
41064,180.0,b
41983,120.0,r
42289,120.0,b
43207,60.0,r
43513,60.0,b
44432,0.0,r
44738,0.0,b
45656,0.0,r
47187,120.0,b
47646,120.0,y
48411,180.0,b
48870,180.0,y
49636,60.0,b
50095,60.0,y
50860,240.0,b
51319,240.0,y
52085,0.0,b
52544,0.0,y
53309,300.0,b
53768,300.0,y
54534,60.0,b
54993,60.0,y
55758,240.0,b
56217,240.0,y
56983,120.0,b
57442,120.0,y
58207,180.0,b
58666,180.0,y
59432,60.0,b
59891,60.0,y
60656,240.0,b
61115,240.0,y
61881,0.0,b
62340,0.0,y
63105,300.0,b
63564,300.0,y
64023,60.0,r
64636,120.0,r
65248,180.0,r
65554,240.0,b
66472,0.0,r
66779,0.0,b
67697,180.0,r
68003,180.0,b
68921,60.0,r
69228,60.0,b
70146,240.0,r
70452,240.0,b
71370,120.0,r
71677,120.0,b
72595,300.0,r
72901,300.0,b
73819,180.0,r
74126,180.0,b
75044,180.0,r
76268,240.0,r
77187,300.0,b
78105,0.0,r
78411,60.0,b
78717,120.0,r
79636,300.0,b
81166,240.0,r
82085,180.0,b
83003,120.0,r
83309,60.0,b
83462,30.0,y
83615,0.0,r
84534,120.0,b
85452,180.0,r
85758,240.0,b
86064,300.0,r
86983,0.0,b
87901,60.0,r
88207,120.0,b
88513,180.0,r
89432,60.0,b
90350,240.0,r
90962,120.0,r
91881,60.0,b
92799,0.0,r
93105,300.0,b
93258,270.0,y
93411,240.0,r
93717,300.0,b
94023,120.0,r
94330,60.0,b
94636,240.0,r
94942,300.0,b
95248,120.0,r
95554,60.0,b
