0,90.0,r
150,45.0,g
300,0.0,g
450,135.0,r
600,90.0,g
750,45.0,g
900,180.0,r
1050,135.0,g
1200,90.0,g
1350,225.0,r
1500,180.0,g
1650,135.0,g
1800,270.0,r
2100,270.0,g
2250,225.0,r
2400,270.0,g
2550,315.0,g
2700,180.0,r
2850,225.0,g
3000,270.0,g
3150,135.0,r
3300,180.0,g
3450,225.0,g
3600,90.0,r
3900,270.0,g
4050,45.0,r
4350,225.0,g
4500,135.0,r
4800,315.0,g
4950,0.0,r
5250,180.0,g
5400,135.0,r
5550,45.0,g
5700,90.0,g
5850,180.0,r
6000,270.0,g
6150,225.0,g
6300,90.0,r
6450,0.0,g
6600,45.0,g
6750,225.0,r
6900,135.0,g
7050,180.0,g
7200,270.0,r
7350,315.0,g
7500,0.0,g
7650,225.0,r
7800,270.0,g
7950,315.0,g
8100,180.0,r
8250,225.0,g
8400,270.0,g
8550,135.0,r
8700,180.0,g
8850,225.0,g
9000,90.0,r
9300,90.0,g
9450,135.0,r
9600,90.0,g
9750,45.0,g
9900,180.0,r
10050,135.0,g
10200,90.0,g
10350,135.0,r
10500,180.0,g
10650,225.0,g
10800,270.0,r
11100,90.0,g
11250,315.0,r
11550,135.0,g
11700,225.0,r
12000,45.0,g
12150,0.0,r
12450,180.0,g
12600,225.0,r
12750,315.0,g
12900,270.0,g
13050,180.0,r
13200,90.0,g
13350,135.0,g
13500,270.0,r
13650,0.0,g
13800,315.0,g
13950,135.0,r
14100,45.0,g
14250,90.0,g
